file=1_P_hgr1_id01_1.bmp; label=LIKE; defect_count=7; mean_defect_depth=13.940290178571429; max_defect_depth=57.4140625; min_defect_depth=3.66015625; std_defect_depth=17.993045094711825; area_contour=21807.5; area_hull=25411.0; solidity=0.8581913344614537; perimeter=744.9777027368546; aspect_ratio=1.1213872832369942; extent=0.6497675943030808; circularity=0.49377511207463687
file=1_P_hgr1_id01_2.bmp; label=LIKE; defect_count=6; mean_defect_depth=14.072916666666666; max_defect_depth=45.42578125; min_defect_depth=6.2421875; std_defect_depth=14.087361498917872; area_contour=20451.5; area_hull=24190.0; solidity=0.8454526663910706; perimeter=745.3208485841751; aspect_ratio=1.5804195804195804; extent=0.6328207191039049; circularity=0.46264565844488564
file=1_P_hgr1_id01_3.bmp; label=LIKE; defect_count=8; mean_defect_depth=11.0283203125; max_defect_depth=52.62109375; min_defect_depth=1.91796875; std_defect_depth=15.97727852035293; area_contour=22991.0; area_hull=26693.0; solidity=0.8613119544449855; perimeter=781.705624461174; aspect_ratio=1.5163398692810457; extent=0.6477067838629704; circularity=0.4728041195767817
file=1_P_hgr1_id02_1.bmp; label=LIKE; defect_count=7; mean_defect_depth=11.677455357142858; max_defect_depth=43.86328125; min_defect_depth=1.375; std_defect_depth=14.014692865392671; area_contour=17302.0; area_hull=21484.5; solidity=0.8053247690195257; perimeter=671.3868628740311; aspect_ratio=0.8168316831683168; extent=0.5191119111911191; circularity=0.48234801267194116
file=1_P_hgr1_id02_2.bmp; label=LIKE; defect_count=5; mean_defect_depth=16.57578125; max_defect_depth=51.51953125; min_defect_depth=4.0234375; std_defect_depth=17.77800501063612; area_contour=19019.0; area_hull=23741.0; solidity=0.8011035760919928; perimeter=694.9015823602676; aspect_ratio=1.21301775147929; extent=0.5489681050656661; circularity=0.49493816203729163
file=1_P_hgr1_id03_1.bmp; label=LIKE; defect_count=6; mean_defect_depth=13.248046875; max_defect_depth=52.85546875; min_defect_depth=1.69140625; std_defect_depth=17.802966791429498; area_contour=19124.5; area_hull=21836.5; solidity=0.8758042726627435; perimeter=697.1442230939865; aspect_ratio=1.136094674556213; extent=0.5893891765285996; circularity=0.4944867827645774
file=1_P_hgr1_id03_2.bmp; label=LIKE; defect_count=7; mean_defect_depth=16.422433035714285; max_defect_depth=53.63671875; min_defect_depth=2.62109375; std_defect_depth=18.257795836354862; area_contour=32416.0; area_hull=39377.5; solidity=0.8232112246841471; perimeter=911.7300091981888; aspect_ratio=0.9913793103448276; extent=0.607496251874063; circularity=0.49004593205605046
file=1_P_hgr1_id04_1.bmp; label=LIKE; defect_count=6; mean_defect_depth=18.750651041666668; max_defect_depth=68.40625; min_defect_depth=5.29296875; std_defect_depth=22.36090512493447; area_contour=32087.5; area_hull=37730.0; solidity=0.8504505698383249; perimeter=894.399055480957; aspect_ratio=1.0344827586206897; extent=0.5762841235632183; circularity=0.5040609828163662
file=1_P_hgr1_id04_2.bmp; label=LIKE; defect_count=6; mean_defect_depth=17.708984375; max_defect_depth=63.859375; min_defect_depth=4.38671875; std_defect_depth=20.994293981728934; area_contour=26022.0; area_hull=31399.5; solidity=0.8287393111355277; perimeter=810.7838318347931; aspect_ratio=1.0724637681159421; extent=0.5662619140880011; circularity=0.4974396249066542
file=1_P_hgr1_id05_1.bmp; label=LIKE; defect_count=5; mean_defect_depth=16.21484375; max_defect_depth=40.4921875; min_defect_depth=4.88671875; std_defect_depth=13.655195405861669; area_contour=16384.0; area_hull=20932.5; solidity=0.782706317926669; perimeter=668.274165391922; aspect_ratio=1.0348837209302326; extent=0.5351450222106088; circularity=0.4610207351667948
file=1_P_hgr1_id05_2.bmp; label=LIKE; defect_count=8; mean_defect_depth=9.69091796875; max_defect_depth=46.09765625; min_defect_depth=1.23046875; std_defect_depth=14.219533969939041; area_contour=13481.0; area_hull=17314.5; solidity=0.7785959744722631; perimeter=597.5046133995056; aspect_ratio=1.0592105263157894; extent=0.5508744687806473; circularity=0.4745144552455219
