epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.31979,1.66139,0.36667,1,1.5327,3.333e-05,3.333e-05,3.333e-05
2,17.6136,1.59276,0.43333,1,1.48588,7.68076e-05,7.68076e-05,7.68076e-05
3,24.7877,1.55702,0.6,1,1.40301,0.000119185,0.000119185,0.000119185
4,32.1805,1.41084,0.7,1,1.28145,0.000160463,0.000160463,0.000160463
5,38.9973,1.29224,0.8,1,1.133,0.000200641,0.000200641,0.000200641
6,44.1316,1.16024,0.83333,1,0.96053,0.000239719,0.000239719,0.000239719
7,49.3666,1.02408,0.9,1,0.78001,0.000277697,0.000277697,0.000277697
8,54.9425,0.82589,0.9,1,0.61424,0.000314575,0.000314575,0.000314575
9,59.9095,0.67774,0.9,1,0.45689,0.000350354,0.000350354,0.000350354
10,64.917,0.54724,0.96667,1,0.32514,0.000385032,0.000385032,0.000385032
11,69.7586,0.42857,1,1,0.22104,0.000418611,0.000418611,0.000418611
12,74.656,0.31812,1,1,0.14522,0.00045109,0.00045109,0.00045109
13,79.3409,0.26672,1,1,0.09565,0.000482468,0.000482468,0.000482468
14,84.1106,0.23979,1,1,0.07317,0.000512747,0.000512747,0.000512747
15,88.9481,0.17147,1,1,0.05669,0.000541926,0.000541926,0.000541926
16,94.2535,0.15716,1,1,0.04727,0.000570005,0.000570005,0.000570005
17,99.5518,0.17431,1,1,0.03861,0.000596985,0.000596985,0.000596985
18,104.292,0.11266,1,1,0.031,0.000622864,0.000622864,0.000622864
19,109.565,0.08361,1,1,0.01977,0.000647644,0.000647644,0.000647644
20,115.554,0.0858,1,1,0.01179,0.000671323,0.000671323,0.000671323
21,121.194,0.09133,1,1,0.00747,0.000693903,0.000693903,0.000693903
22,127.603,0.05286,1,1,0.00658,0.000715383,0.000715383,0.000715383
23,133.039,0.08429,1,1,0.00606,0.000735763,0.000735763,0.000735763
24,139.456,0.04858,1,1,0.00772,0.000755043,0.000755043,0.000755043
25,145.334,0.03966,1,1,0.01742,0.000773223,0.000773223,0.000773223
26,150.87,0.06316,0.96667,1,0.03785,0.000767284,0.000767284,0.000767284
