epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.46488,1.61869,0.4,1,1.57412,3.333e-05,3.333e-05,3.333e-05
2,11.423,1.58473,0.46667,1,1.52564,7.68076e-05,7.68076e-05,7.68076e-05
3,16.762,1.52854,0.5,1,1.43855,0.000119185,0.000119185,0.000119185
4,21.9495,1.40754,0.66667,1,1.30026,0.000160463,0.000160463,0.000160463
5,27.7095,1.27195,0.7,1,1.13511,0.000200641,0.000200641,0.000200641
6,33.1075,1.13003,0.8,1,0.96618,0.000239719,0.000239719,0.000239719
7,38.5562,1.00811,0.9,1,0.80692,0.000277697,0.000277697,0.000277697
8,43.6482,0.80078,0.93333,1,0.6592,0.000314575,0.000314575,0.000314575
9,48.6871,0.71928,0.9,1,0.51091,0.000350354,0.000350354,0.000350354
10,54.2444,0.53057,0.93333,1,0.38918,0.000385032,0.000385032,0.000385032
11,62.9169,0.37882,0.93333,1,0.29268,0.000418611,0.000418611,0.000418611
12,74.2894,0.32483,0.93333,1,0.2315,0.00045109,0.00045109,0.00045109
13,86.1396,0.22677,0.93333,1,0.1896,0.000482468,0.000482468,0.000482468
14,97.1051,0.18835,0.96667,1,0.16036,0.000512747,0.000512747,0.000512747
15,107.575,0.15258,0.96667,1,0.13966,0.000541926,0.000541926,0.000541926
16,118.572,0.12443,0.96667,1,0.11702,0.000570005,0.000570005,0.000570005
17,131.754,0.15526,0.96667,1,0.09576,0.000596985,0.000596985,0.000596985
18,142.213,0.17694,0.96667,1,0.08064,0.000622864,0.000622864,0.000622864
19,152.955,0.11446,0.96667,1,0.07296,0.000647644,0.000647644,0.000647644
20,163.885,0.07663,0.96667,1,0.07406,0.000671323,0.000671323,0.000671323
21,173.711,0.07701,0.96667,1,0.07165,0.000693903,0.000693903,0.000693903
22,184.468,0.08046,0.96667,1,0.06121,0.000715383,0.000715383,0.000715383
23,195.244,0.06923,0.96667,1,0.05762,0.000735763,0.000735763,0.000735763
24,207.907,0.05907,0.96667,1,0.06117,0.000755043,0.000755043,0.000755043
25,219.935,0.06871,0.96667,1,0.05909,0.000773223,0.000773223,0.000773223
26,230.128,0.07725,0.96667,1,0.06799,0.000767284,0.000767284,0.000767284
27,240.675,0.06929,0.96667,1,0.08377,0.000753536,0.000753536,0.000753536
28,251.56,0.04344,0.96667,1,0.09866,0.000739787,0.000739787,0.000739787
29,261.788,0.06417,0.96667,1,0.12208,0.000726038,0.000726038,0.000726038
