epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.23181,1.63124,0.46667,1,1.58087,3.333e-05,3.333e-05,3.333e-05
2,10.5455,1.60988,0.4,1,1.53492,7.68076e-05,7.68076e-05,7.68076e-05
3,15.1942,1.5036,0.43333,1,1.44268,0.000119185,0.000119185,0.000119185
4,20.8683,1.39137,0.53333,1,1.31301,0.000160463,0.000160463,0.000160463
5,25.5217,1.29123,0.63333,1,1.15899,0.000200641,0.000200641,0.000200641
6,30.2819,1.10329,0.73333,1,0.99703,0.000239719,0.000239719,0.000239719
7,35.0617,0.99123,0.73333,1,0.8335,0.000277697,0.000277697,0.000277697
8,42.0093,0.83003,0.76667,1,0.68388,0.000314575,0.000314575,0.000314575
9,49.1057,0.62846,0.76667,1,0.5418,0.000350354,0.000350354,0.000350354
10,58.2531,0.51338,0.86667,1,0.43341,0.000385032,0.000385032,0.000385032
11,65.2358,0.36893,0.86667,1,0.33741,0.000418611,0.000418611,0.000418611
12,73.1345,0.2791,0.9,1,0.2732,0.00045109,0.00045109,0.00045109
13,80.4062,0.22894,0.93333,1,0.23975,0.000482468,0.000482468,0.000482468
14,85.9831,0.14025,0.93333,1,0.21223,0.000512747,0.000512747,0.000512747
15,92.4135,0.13251,0.93333,1,0.17212,0.000541926,0.000541926,0.000541926
16,98.2028,0.1387,0.9,1,0.1579,0.000570005,0.000570005,0.000570005
17,103.91,0.12599,0.9,1,0.14064,0.000596985,0.000596985,0.000596985
18,109.522,0.10118,0.93333,1,0.12811,0.000622864,0.000622864,0.000622864
19,114.999,0.1026,0.93333,1,0.12469,0.000647644,0.000647644,0.000647644
20,120.22,0.08983,0.93333,1,0.12023,0.000671323,0.000671323,0.000671323
21,125.751,0.04658,0.93333,1,0.11638,0.000693903,0.000693903,0.000693903
22,131.412,0.10585,0.93333,1,0.11028,0.000715383,0.000715383,0.000715383
23,137.747,0.0806,0.96667,1,0.11285,0.000735763,0.000735763,0.000735763
24,143.588,0.08542,0.96667,1,0.10335,0.000755043,0.000755043,0.000755043
25,150.907,0.04005,0.96667,1,0.11423,0.000773223,0.000773223,0.000773223
26,156.39,0.07848,0.96667,1,0.08424,0.000767284,0.000767284,0.000767284
27,163.037,0.06417,0.93333,1,0.10612,0.000753536,0.000753536,0.000753536
28,172.152,0.09839,0.96667,1,0.08875,0.000739787,0.000739787,0.000739787
29,178.787,0.07879,1,1,0.04194,0.000726038,0.000726038,0.000726038
30,184.86,0.05796,1,1,0.03393,0.00071229,0.00071229,0.00071229
31,190.265,0.03629,1,1,0.0304,0.000698541,0.000698541,0.000698541
32,195.039,0.11804,1,1,0.0245,0.000684793,0.000684793,0.000684793
33,199.703,0.05025,0.96667,1,0.10401,0.000671044,0.000671044,0.000671044
34,204.02,0.05045,0.96667,1,0.17566,0.000657295,0.000657295,0.000657295
35,209.241,0.04548,0.96667,1,0.13666,0.000643547,0.000643547,0.000643547
36,214.521,0.07646,0.96667,1,0.09622,0.000629798,0.000629798,0.000629798
37,219.903,0.02601,0.96667,1,0.07145,0.000616049,0.000616049,0.000616049
38,224.705,0.0409,0.96667,1,0.05762,0.000602301,0.000602301,0.000602301
39,230.097,0.028,1,1,0.05839,0.000588552,0.000588552,0.000588552
40,235.324,0.04128,0.96667,1,0.06473,0.000574804,0.000574804,0.000574804
41,241.058,0.01994,0.96667,1,0.07161,0.000561055,0.000561055,0.000561055
42,247.022,0.04064,0.96667,1,0.08215,0.000547306,0.000547306,0.000547306
43,252.679,0.03144,0.93333,1,0.07988,0.000533558,0.000533558,0.000533558
44,259.018,0.05264,0.93333,1,0.07541,0.000519809,0.000519809,0.000519809
